age,region,face_confidence,gender,dominant_gender,race,dominant_race,emotion,dominant_emotion,file_path,face_number
40,"{'x': 0, 'y': 0, 'w': 1920, 'h': 1080, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 73.57575297355652, 'Man': 26.42424702644348}",Woman,"{'asian': 0.863050255212203, 'indian': 3.315663535336467, 'black': 0.4591953748730048, 'white': 58.213773859368196, 'middle eastern': 31.409697616678333, 'latino hispanic': 5.738621919669027}",white,"{'angry': 0.0007905445743828106, 'disgust': 4.806078131191333e-10, 'fear': 36.250960007367134, 'happy': 2.757616521851702e-05, 'sad': 63.748196586859024, 'surprise': 3.1603871271901254e-05, 'neutral': 2.3603739037998496e-06}",sad,image/teen/image5.jpeg,1
26,"{'x': 423, 'y': 153, 'w': 251, 'h': 251, 'left_eye': None, 'right_eye': None}",0.94,"{'Woman': 99.98964071273804, 'Man': 0.010360949818277732}",Woman,"{'asian': 72.43735522778567, 'indian': 4.2600093919027575, 'black': 1.0285148102325428, 'white': 6.744114995704294, 'middle eastern': 1.0800763608424233, 'latino hispanic': 14.449928468474333}",asian,"{'angry': 1.6119607674697548e-13, 'disgust': 1.1136720748390957e-27, 'fear': 1.790584107708146e-14, 'happy': 100.0, 'sad': 3.636170829241842e-14, 'surprise': 3.783122564673079e-12, 'neutral': 1.1103274549784103e-08}",happy,image/teen/image9.jpeg,1
36,"{'x': 713, 'y': 698, 'w': 81, 'h': 81, 'left_eye': None, 'right_eye': None}",0.96,"{'Woman': 34.18717086315155, 'Man': 65.81283211708069}",Man,"{'asian': 7.022619992494583, 'indian': 8.213644474744797, 'black': 1.3680516742169857, 'white': 19.31336224079132, 'middle eastern': 52.622610330581665, 'latino hispanic': 11.45971342921257}",middle eastern,"{'angry': 5.974185768309326e-06, 'disgust': 6.879334879528187e-08, 'fear': 9.366657584905624, 'happy': 56.366002559661865, 'sad': 33.46364200115204, 'surprise': 1.6779891254259383e-06, 'neutral': 0.803696271032095}",happy,image/teen/image9.jpeg,2
29,"{'x': 0, 'y': 0, 'w': 1200, 'h': 1800, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 7.401780784130096, 'Man': 92.59821772575378}",Man,"{'asian': 1.2362861811391224, 'indian': 1.6980043693187457, 'black': 0.4101589100902623, 'white': 64.82571153794, 'middle eastern': 18.626805760074006, 'latino hispanic': 13.203039062204304}",white,"{'angry': 3.866754339086867e-13, 'disgust': 1.5011327504832808e-24, 'fear': 0.9896011681617003, 'happy': 2.1140840383837817e-05, 'sad': 98.26452125695475, 'surprise': 3.725660082185905e-15, 'neutral': 0.7458582499389798}",sad,image/teen/image11.jpeg,1
44,"{'x': 0, 'y': 0, 'w': 1920, 'h': 1080, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 6.304755061864853, 'Man': 93.69524121284485}",Man,"{'asian': 0.11193930404260755, 'indian': 0.004219417314743623, 'black': 0.005316104579833336, 'white': 97.92988300323486, 'middle eastern': 1.5973575413227081, 'latino hispanic': 0.3512914991006255}",white,"{'angry': 0.10181900022217633, 'disgust': 3.904879852402888e-06, 'fear': 0.14835545746120557, 'happy': 0.0002838591341087451, 'sad': 7.920049602988339, 'surprise': 4.720888861481333e-13, 'neutral': 91.82949017462076}",neutral,image/teen/image2.jpeg,1
23,"{'x': 770, 'y': 290, 'w': 367, 'h': 367, 'left_eye': (1019, 451), 'right_eye': (889, 428)}",0.93,"{'Woman': 99.31867122650146, 'Man': 0.6813285406678915}",Woman,"{'asian': 0.07129823789000511, 'indian': 0.5039207171648741, 'black': 0.005686622171197087, 'white': 60.69546937942505, 'middle eastern': 23.696368932724, 'latino hispanic': 15.027253329753876}",white,"{'angry': 0.00498160072900117, 'disgust': 2.051654524212591e-08, 'fear': 0.05059917176919709, 'happy': 0.003854919716683088, 'sad': 0.1371788874077134, 'surprise': 0.0022333853361189006, 'neutral': 99.80115293271261}",neutral,image/teen/image3.jpeg,1
34,"{'x': 0, 'y': 0, 'w': 2250, 'h': 1500, 'left_eye': None, 'right_eye': None}",0.0,"{'Woman': 1.4395948499441147, 'Man': 98.56040477752686}",Man,"{'asian': 2.510370686650276, 'indian': 5.776272714138031, 'black': 78.55481505393982, 'white': 3.8904793560504913, 'middle eastern': 5.328293889760971, 'latino hispanic': 3.9397690445184708}",black,"{'angry': 1.424846425652504, 'disgust': 0.00244341299548978, 'fear': 95.75495719909668, 'happy': 2.422221377491951, 'sad': 0.022125348914414644, 'surprise': 0.305155455134809, 'neutral': 0.06824810989201069}",fear,image/adults/image0.jpeg,1
25,"{'x': 497, 'y': 206, 'w': 447, 'h': 447, 'left_eye': (821, 387), 'right_eye': (600, 388)}",0.92,"{'Woman': 1.8117921740667953e-05, 'Man': 99.99997615814209}",Man,"{'asian': 7.088126472581514e-33, 'indian': 7.509491187104949e-26, 'black': 100.0, 'white': 0.0, 'middle eastern': 0.0, 'latino hispanic': 9.166740046582362e-32}",black,"{'angry': 0.1030043582431972, 'disgust': 1.2669843439097519e-12, 'fear': 99.8694360256195, 'happy': 1.3089757722184459e-06, 'sad': 0.02342543302802369, 'surprise': 0.00045875090108893346, 'neutral': 0.0036782748793484643}",fear,image/adults/image14.jpeg,1
30,"{'x': 414, 'y': 214, 'w': 185, 'h': 185, 'left_eye': None, 'right_eye': None}",0.91,"{'Woman': 0.00015065677416714607, 'Man': 99.99984502792358}",Man,"{'asian': 0.6588789780284192, 'indian': 5.336612199352717, 'black': 0.5512437126047954, 'white': 41.940552956992036, 'middle eastern': 31.571023872968688, 'latino hispanic': 19.94168073634139}",white,"{'angry': 6.11091677260589e-08, 'disgust': 2.8779704726705943e-17, 'fear': 2.2220547342237384e-12, 'happy': 99.96151924133301, 'sad': 1.2316509791221453e-09, 'surprise': 1.7058280832316086e-05, 'neutral': 0.03846139879897237}",happy,image/adults/image1.jpeg,1
29,"{'x': 977, 'y': 261, 'w': 477, 'h': 477, 'left_eye': None, 'right_eye': None}",0.93,"{'Woman': 1.3775578700006008, 'Man': 98.62244129180908}",Man,"{'asian': 1.5186317265033722, 'indian': 9.664206951856613, 'black': 0.6817179266363382, 'white': 23.27178716659546, 'middle eastern': 39.3878698348999, 'latino hispanic': 25.475788116455078}",middle eastern,"{'angry': 0.23740299009943128, 'disgust': 99.43452484196128, 'fear': 0.3258198576933315, 'happy': 5.32643459433477e-12, 'sad': 0.0022415787554489626, 'surprise': 9.451389931985614e-10, 'neutral': 3.824014607078439e-09}",disgust,image/adults/image12.jpeg,1
37,"{'x': 1523, 'y': 966, 'w': 56, 'h': 56, 'left_eye': None, 'right_eye': None}",0.97,"{'Woman': 19.137388467788696, 'Man': 80.8626115322113}",Man,"{'asian': 35.81423630544707, 'indian': 7.016414312551699, 'black': 5.459386949612266, 'white': 25.733825476905647, 'middle eastern': 15.214816902301681, 'latino hispanic': 10.761315582833817}",asian,"{'angry': 6.916772576914809e-05, 'disgust': 8.384319714199728e-11, 'fear': 1.0933258570730686, 'happy': 15.875086188316345, 'sad': 3.3291157335042953, 'surprise': 4.1452119603491155e-05, 'neutral': 79.7023594379425}",neutral,image/adults/image12.jpeg,2
